,imdbId,Imdb Link,Title,IMDB Score,Genre,Poster,Year
63,436331,http://www.imdb.com/title/tt436331,Friends with Money,5.9,Comedy,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjE3Mjc3NjQ5NV5BMl5BanBnXkFtZTYwMjY5MjE3._V1_UX182_CR0,0,182,268_AL_.jpg",2006
64,424880,http://www.imdb.com/title/tt424880,Candy,7.3,Drama,"https://images-na.ssl-images-amazon.com/images/M/MV5BNTgwNzliODYtOWI2Yy00OTFhLWExZjgtNTdjNjMzOTAyN2JmXkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_UY268_CR1,0,182,268_AL_.jpg",2006
65,453494,http://www.imdb.com/title/tt453494,Hoot,5.6,Adventure,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTUwNzA3NTczNl5BMl5BanBnXkFtZTcwNzg2NDQzMQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",2006
66,362120,http://www.imdb.com/title/tt362120,Scary Movie 4,5.1,Comedy,"https://images-na.ssl-images-amazon.com/images/M/MV5BZmFkMzc2NTctN2U1Ni00MzE5LWJmMzMtYWQ4NjQyY2MzYmM1XkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_UX182_CR0,0,182,268_AL_.jpg",2006
67,420087,http://www.imdb.com/title/tt420087,A Prairie Home Companion,6.8,Comedy,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTYwOTgzMTA3NF5BMl5BanBnXkFtZTcwMjYxMDMzMQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",2006
68,404163,http://www.imdb.com/title/tt404163,Even Money,5.9,Crime,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTI4OTI0OTY3Nl5BMl5BanBnXkFtZTcwMDM1ODc0MQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",2006
69,443632,http://www.imdb.com/title/tt443632,The Sentinel,6.1,Action,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ4OTcyODc1N15BMl5BanBnXkFtZTcwNDE0MjYzMQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",2006
70,405469,http://www.imdb.com/title/tt405469,The Wild,5.3,Animation,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ5ODgzNjQ3OF5BMl5BanBnXkFtZTcwNTYyMTQzMQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",2006
71,384537,http://www.imdb.com/title/tt384537,Silent Hill,6.6,Adventure,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTI4NzQ3NTgxNV5BMl5BanBnXkFtZTcwMTMwOTIzMQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",2006
72,465142,http://www.imdb.com/title/tt465142,American Dreamz,5.5,Comedy,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjE0MTk1NzM4MV5BMl5BanBnXkFtZTcwOTUzMjYzMQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",2006
73,448564,http://www.imdb.com/title/tt448564,Irresistible,5.8,Drama,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTQzNTk5MzIzM15BMl5BanBnXkFtZTgwMTYxNjIzMTE@._V1_UY268_CR4,0,182,268_AL_.jpg",2006
74,317919,http://www.imdb.com/title/tt317919,Mission: Impossible III,6.9,Action,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjExMDY1MTI5MF5BMl5BanBnXkFtZTcwNDE2NTQzMw@@._V1_UX182_CR0,0,182,268_AL_.jpg",2006
75,449089,http://www.imdb.com/title/tt449089,RV,5.5,Adventure,"https://images-na.ssl-images-amazon.com/images/M/MV5BNDgxNDE2NDU3MV5BMl5BanBnXkFtZTcwMzA2ODQzMQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",2006
76,475276,http://www.imdb.com/title/tt475276,United 93,7.6,Drama,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTI1Nzc3NjAwOF5BMl5BanBnXkFtZTcwNzYzMjYzMQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",2006
77,430634,http://www.imdb.com/title/tt430634,Stick It,6.4,Comedy,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTI1MDAzMDgzMF5BMl5BanBnXkFtZTcwNzc1ODQzMQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",2006
78,327084,http://www.imdb.com/title/tt327084,Over the Hedge,6.8,Animation,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTQwMTQxNTcwOF5BMl5BanBnXkFtZTcwMzQ1NzUzMQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",2006
79,409182,http://www.imdb.com/title/tt409182,Poseidon,5.6,Action,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTIwOTMwODM2Nl5BMl5BanBnXkFtZTYwMDY5NjU3._V1_UX182_CR0,0,182,268_AL_.jpg",2006
80,382625,http://www.imdb.com/title/tt382625,The Da Vinci Code,6.6,Mystery,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjIxMjQyMTc3Nl5BMl5BanBnXkFtZTcwMTA1MDUzMw@@._V1_UX182_CR0,0,182,268_AL_.jpg",2006
81,376994,http://www.imdb.com/title/tt376994,X-Men: The Last Stand,6.7,Action,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjI1NTg2ODA2Nl5BMl5BanBnXkFtZTcwMDc2MjEzMw@@._V1_UX182_CR0,0,182,268_AL_.jpg",2006
82,452594,http://www.imdb.com/title/tt452594,The Break-Up,5.8,Comedy,"https://images-na.ssl-images-amazon.com/images/M/MV5BOTM1YjVhNTMtZTEyZi00ODk3LWI4NDItZWUyZTA1ODM3Zjk4XkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_UX182_CR0,0,182,268_AL_.jpg",2006
83,438315,http://www.imdb.com/title/tt438315,Peaceful Warrior,7.3,Drama,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTYxMDkyMTIwN15BMl5BanBnXkFtZTcwNjQ3MTkzMQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",2006
84,415949,http://www.imdb.com/title/tt415949,Keeping Up with the Steins,5.4,Comedy,"https://images-na.ssl-images-amazon.com/images/M/MV5BOTQ0OTE5MjA5N15BMl5BanBnXkFtZTcwNTk4NzczMQ@@._V1_UY268_CR0,0,182,268_AL_.jpg",2006
85,317219,http://www.imdb.com/title/tt317219,Cars,7.1,Animation,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTg5NzY0MzA2MV5BMl5BanBnXkFtZTYwNDc3NTc2._V1_UX182_CR0,0,182,268_AL_.jpg",2006
86,466909,http://www.imdb.com/title/tt466909,The Omen,5.5,Horror,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTM5Nzg1MDUxNV5BMl5BanBnXkFtZTcwNzA5MjA0MQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",2006
87,457510,http://www.imdb.com/title/tt457510,Nacho Libre,5.7,Comedy,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjE1OTQxNTk4NV5BMl5BanBnXkFtZTcwNDQzMjYzMQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",2006
88,410297,http://www.imdb.com/title/tt410297,The Lake House,6.8,Drama,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTYxMTgxNDI3MV5BMl5BanBnXkFtZTcwMzIxMTIzMw@@._V1_UX182_CR0,0,182,268_AL_.jpg",2006
89,389860,http://www.imdb.com/title/tt389860,Click,6.4,Comedy,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjEyODM5MzY2N15BMl5BanBnXkFtZTcwNjcyMTIzMQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",2006
90,458352,http://www.imdb.com/title/tt458352,The Devil Wears Prada,6.8,Comedy,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTMyNjk4Njc3NV5BMl5BanBnXkFtZTcwNDkyMTEzMw@@._V1_UX182_CR0,0,182,268_AL_.jpg",2006
91,383574,http://www.imdb.com/title/tt383574,Pirates of the Caribbean: Dead Man's Chest,7.3,Action,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTcwODc1MTMxM15BMl5BanBnXkFtZTYwMDg1NzY3._V1_UX182_CR0,0,182,268_AL_.jpg",2006
92,463034,http://www.imdb.com/title/tt463034,"You, Me and Dupree",5.6,Comedy,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTUxOTg0MzczOV5BMl5BanBnXkFtZTcwODk1MTQzMQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",2006
93,424345,http://www.imdb.com/title/tt424345,Clerks II,7.4,Comedy,"https://images-na.ssl-images-amazon.com/images/M/MV5BODg1MzY2NDY0OF5BMl5BanBnXkFtZTcwNDgyMzQzMQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",2006
94,452637,http://www.imdb.com/title/tt452637,Lady in the Water,5.6,Drama,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjEyNTc0NTk5M15BMl5BanBnXkFtZTcwMDE5NzkyMw@@._V1_UX182_CR0,0,182,268_AL_.jpg",2006
95,465624,http://www.imdb.com/title/tt465624,My Super Ex-Girlfriend,5.1,Comedy,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTc4OTA4OTYyMl5BMl5BanBnXkFtZTcwMzU4NDQzMQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",2006
96,437179,http://www.imdb.com/title/tt437179,See No Evil,5.1,Action,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTg3MTgxNDI1MV5BMl5BanBnXkFtZTcwMTkzMjYzMQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",2006
97,422720,http://www.imdb.com/title/tt422720,Marie Antoinette,6.4,Biography,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTIzOTk1NzY5NV5BMl5BanBnXkFtZTcwOTMzNDgzMQ@@._V1_UY268_CR0,0,182,268_AL_.jpg",2006
98,489037,http://www.imdb.com/title/tt489037,Who Killed the Electric Car?,7.7,Documentary,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTc1MTM0MTA2N15BMl5BanBnXkFtZTcwMTk1OTIzMQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",2006
99,497116,http://www.imdb.com/title/tt497116,An Inconvenient Truth,7.5,Documentary,"https://images-na.ssl-images-amazon.com/images/M/MV5BOTg3NjYxMjM5OF5BMl5BanBnXkFtZTcwMzQzMDA0MQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",2006
100,469916,http://www.imdb.com/title/tt469916,Hollow Man II,4.4,Action,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTcxNzEyMTIzMV5BMl5BanBnXkFtZTgwMDAzNjAwNzE@._V1_UY268_CR9,0,182,268_AL_.jpg",2006
101,398839,http://www.imdb.com/title/tt398839,Cattle Call,3.8,Comedy,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjI5MTg3NDA2Ml5BMl5BanBnXkFtZTcwODc2ODk5NA@@._V1_UY268_CR9,0,182,268_AL_.jpg",2006
102,475293,http://www.imdb.com/title/tt475293,High School Musical,5.2,Comedy,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTI4NzMzMDM3Nl5BMl5BanBnXkFtZTcwNjgzMjU0MQ@@._V1_UY268_CR8,0,182,268_AL_.jpg",2006
103,446059,http://www.imdb.com/title/tt446059,Fearless,7.7,Action,"https://images-na.ssl-images-amazon.com/images/M/MV5BZmIxOTg0NWUtYWI2NC00Y2Y3LTgyYzItOGUxNjE3ZTgwMGEyL2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UY268_CR5,0,182,268_AL_.jpg",2006
104,463985,http://www.imdb.com/title/tt463985,The Fast and the Furious: Tokyo Drift,6.0,Action,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ2NTMxODEyNV5BMl5BanBnXkFtZTcwMDgxMjA0MQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",2006
105,455499,http://www.imdb.com/title/tt455499,Garfield: A Tail of Two Kitties,5.0,Animation,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTQwNTcyOTQ5MV5BMl5BanBnXkFtZTYwMTY2NjU3._V1_UX182_CR0,0,182,268_AL_.jpg",2006
106,456020,http://www.imdb.com/title/tt456020,Waist Deep,5.9,Action,"https://images-na.ssl-images-amazon.com/images/M/MV5BODQ3OTkxNTgyN15BMl5BanBnXkFtZTcwMjA0ODQzMQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",2006
107,348150,http://www.imdb.com/title/tt348150,Superman Returns,6.1,Action,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTU3NzA5MjI0Nl5BMl5BanBnXkFtZTcwMTEwNzMzMQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",2006
