,Unnamed: 0,imdbId,Imdb Link,Title,IMDB Score,Genre,Poster,Year
10821,10821,454848,http://www.imdb.com/title/tt454848,Inside Man,7.6,Crime,"https://images-na.ssl-images-amazon.com/images/M/MV5BYjc4MjA2ZDgtOGY3YS00NDYzLTlmNTEtYWMxMzcwZjgzYWNjXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg",2006
10823,10823,429591,http://www.imdb.com/title/tt429591,Aquamarine,5.3,Comedy,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ5MTc5OTk1OF5BMl5BanBnXkFtZTcwMDc1NTIzMQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",2006
10832,10832,458242,http://www.imdb.com/title/tt458242,Laitakaupungin valot,6.9,Crime,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTY1NTIyMzQ3NF5BMl5BanBnXkFtZTcwNDUyNTY1Mw@@._V1_UY268_CR3,0,182,268_AL_.jpg",2006
10835,10835,454841,http://www.imdb.com/title/tt454841,The Hills Have Eyes,6.4,Horror,"https://images-na.ssl-images-amazon.com/images/M/MV5BMzk0MTg5MzEyOF5BMl5BanBnXkFtZTcwNDUyMzIzMQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",2006
10836,10836,393735,http://www.imdb.com/title/tt393735,The Shaggy Dog,4.4,Comedy,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTY0NzM0OTE1N15BMl5BanBnXkFtZTcwMjQ0NjIzMQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",2006
10841,10841,405094,http://www.imdb.com/title/tt405094,The Lives of Others,8.5,Drama,"https://images-na.ssl-images-amazon.com/images/M/MV5BNDUzNjYwNDYyNl5BMl5BanBnXkFtZTcwNjU3ODQ0MQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",2006
10852,10852,446046,http://www.imdb.com/title/tt446046,Take the Lead,6.7,Drama,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjAwODMxMjk2OF5BMl5BanBnXkFtZTYwNDEwMTY2._V1_UX182_CR0,0,182,268_AL_.jpg",2006
10858,10858,429727,http://www.imdb.com/title/tt429727,Il caimano,6.7,Comedy,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjgyODIxMTMxMV5BMl5BanBnXkFtZTcwMzM3MzYwNA@@._V1_UY268_CR5,0,182,268_AL_.jpg",2006
10859,10859,425210,http://www.imdb.com/title/tt425210,Lucky Number Slevin,7.8,Crime,"https://images-na.ssl-images-amazon.com/images/M/MV5BZjczMWI1YWMtYTZjOS00ZDc5LWE2MWItMTY3ZGUxNzFkNjJmL2ltYWdlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX182_CR0,0,182,268_AL_.jpg",2006
10863,10863,441909,http://www.imdb.com/title/tt441909,Volver,7.6,Comedy,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjA0NTUxMjY1OV5BMl5BanBnXkFtZTcwNjI2OTMzMQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",2006
10865,10865,437800,http://www.imdb.com/title/tt437800,Akeelah and the Bee,7.5,Drama,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTUzMDIwNjIzM15BMl5BanBnXkFtZTcwNTczODQzMQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",2006
10869,10869,462395,http://www.imdb.com/title/tt462395,Larry the Cable Guy: Health Inspector,3.1,Comedy,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTIxMTI3MDgyM15BMl5BanBnXkFtZTcwMDU0MzIzMQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",2006
10870,10870,441796,http://www.imdb.com/title/tt441796,Stay Alive,5.1,Horror,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTI1MDI5NDM5M15BMl5BanBnXkFtZTYwMjU1NDY3._V1_UX182_CR0,0,182,268_AL_.jpg",2006
10872,10872,430912,http://www.imdb.com/title/tt430912,Basic Instinct 2,4.2,Drama,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTkzNzM3ODY3Nl5BMl5BanBnXkFtZTcwNzMyNDcyNA@@._V1_UX182_CR0,0,182,268_AL_.jpg",2006
10879,10879,493459,http://www.imdb.com/title/tt493459,This Film Is Not Yet Rated,7.5,Documentary,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTk0NDIwMDUxNl5BMl5BanBnXkFtZTcwMzY3MzIzMQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",2006
10881,10881,466856,http://www.imdb.com/title/tt466856,ATL,6.0,Comedy,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTU5NjAzOTk1Nl5BMl5BanBnXkFtZTcwNDA1NTIzMQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",2006
10883,10883,439815,http://www.imdb.com/title/tt439815,Slither,6.5,Comedy,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjEyNTE0NDI2OF5BMl5BanBnXkFtZTcwODcwODMzMQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",2006
10884,10884,437863,http://www.imdb.com/title/tt437863,The Benchwarmers,5.6,Comedy,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTcxMzg3NDQwNl5BMl5BanBnXkFtZTcwMjk1ODQzMQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",2006
10885,10885,490196,http://www.imdb.com/title/tt490196,Phat Girlz,3.0,Comedy,"https://images-na.ssl-images-amazon.com/images/M/MV5BNDIyNzU2NTkwM15BMl5BanBnXkFtZTcwNDYyMDMzMQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",2006
10886,10886,386741,http://www.imdb.com/title/tt386741,Renaissance,6.7,Animation,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjEyMzA4ODQ3MV5BMl5BanBnXkFtZTcwMTkwNDUzMQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",2006
10890,10890,436331,http://www.imdb.com/title/tt436331,Friends with Money,5.9,Comedy,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjE3Mjc3NjQ5NV5BMl5BanBnXkFtZTYwMjY5MjE3._V1_UX182_CR0,0,182,268_AL_.jpg",2006
10898,10898,424880,http://www.imdb.com/title/tt424880,Candy,7.3,Drama,"https://images-na.ssl-images-amazon.com/images/M/MV5BNTgwNzliODYtOWI2Yy00OTFhLWExZjgtNTdjNjMzOTAyN2JmXkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_UY268_CR1,0,182,268_AL_.jpg",2006
10903,10903,453494,http://www.imdb.com/title/tt453494,Hoot,5.6,Adventure,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTUwNzA3NTczNl5BMl5BanBnXkFtZTcwNzg2NDQzMQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",2006
10905,10905,362120,http://www.imdb.com/title/tt362120,Scary Movie 4,5.1,Comedy,"https://images-na.ssl-images-amazon.com/images/M/MV5BZmFkMzc2NTctN2U1Ni00MzE5LWJmMzMtYWQ4NjQyY2MzYmM1XkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_UX182_CR0,0,182,268_AL_.jpg",2006
10910,10910,420087,http://www.imdb.com/title/tt420087,A Prairie Home Companion,6.8,Comedy,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTYwOTgzMTA3NF5BMl5BanBnXkFtZTcwMjYxMDMzMQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",2006
10911,10911,404163,http://www.imdb.com/title/tt404163,Even Money,5.9,Crime,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTI4OTI0OTY3Nl5BMl5BanBnXkFtZTcwMDM1ODc0MQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",2006
10915,10915,443632,http://www.imdb.com/title/tt443632,The Sentinel,6.1,Action,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ4OTcyODc1N15BMl5BanBnXkFtZTcwNDE0MjYzMQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",2006
10918,10918,405469,http://www.imdb.com/title/tt405469,The Wild,5.3,Animation,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ5ODgzNjQ3OF5BMl5BanBnXkFtZTcwNTYyMTQzMQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",2006
10920,10920,384537,http://www.imdb.com/title/tt384537,Silent Hill,6.6,Adventure,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTI4NzQ3NTgxNV5BMl5BanBnXkFtZTcwMTMwOTIzMQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",2006
10922,10922,465142,http://www.imdb.com/title/tt465142,American Dreamz,5.5,Comedy,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjE0MTk1NzM4MV5BMl5BanBnXkFtZTcwOTUzMjYzMQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",2006
10924,10924,448564,http://www.imdb.com/title/tt448564,Irresistible,5.8,Drama,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTQzNTk5MzIzM15BMl5BanBnXkFtZTgwMTYxNjIzMTE@._V1_UY268_CR4,0,182,268_AL_.jpg",2006
10930,10930,317919,http://www.imdb.com/title/tt317919,Mission: Impossible III,6.9,Action,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjExMDY1MTI5MF5BMl5BanBnXkFtZTcwNDE2NTQzMw@@._V1_UX182_CR0,0,182,268_AL_.jpg",2006
10935,10935,449089,http://www.imdb.com/title/tt449089,RV,5.5,Adventure,"https://images-na.ssl-images-amazon.com/images/M/MV5BNDgxNDE2NDU3MV5BMl5BanBnXkFtZTcwMzA2ODQzMQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",2006
